Presence-Absence,POINT_X,POINT_Y
1,262750,6557250
1,263250,6558750
1,263750,6555250
0,264250,6558250
1,265250,6555750
1,265250,6559750
1,266750,6553750
1,266750,6554750
1,266750,6555750
1,267250,6552750
0,267750,6554750
1,267750,6558750
0,268750,6555750
0,269750,6550250
0,270750,6551250
1,270750,6552250
1,271750,6551250
1,272750,6553250
1,273250,6556250
1,273750,6550750
1,274250,6553250
1,274750,6552250
0,285250,6566750
1,285250,6572750
1,285750,6562250
1,285750,6570250
0,285750,6573750
1,286250,6563750
0,286250,6569250
0,286250,6571250
0,286750,6567250
1,287250,6561750
0,287250,6563750
0,287250,6565250
0,287250,6570750
0,287250,6572250
1,287750,6560250
0,287750,6562750
0,287750,6566750
1,288250,6565750
0,288250,6568250
1,288750,6562250
0,288750,6563250
0,288750,6571750
0,288750,6573750
1,289250,6560750
0,289250,6565750
0,289250,6567250
0,289250,6570750
1,289750,6572750
1,289750,6574250
1,290250,6563750
1,290250,6564750
1,290250,6566250
0,290250,6571750
0,291250,6561750
1,291250,6568250
0,291250,6569250
1,291250,6570750
0,291750,6565250
1,291750,6574250
0,292250,6560250
1,292250,6566250
0,292250,6568750
0,292250,6570250
0,292750,6564250
0,292750,6567250
0,292750,6571750
0,293250,6561250
0,293250,6562750
0,293250,6566250
1,293250,6570750
0,293250,6572750
0,293750,6564750
0,293750,6569750
0,294250,6560250
1,294250,6561750
0,294250,6563750
0,294250,6566250
0,294250,6567250
0,294750,6568750
0,294750,6570750
1,305250,6565250
0,305250,6570250
0,305250,6571250
0,305750,6569250
0,305750,6574750
0,305750,6577250
0,305750,6579750
0,306250,6571250
0,306750,6574750
0,307250,6566250
0,307250,6577250
0,307750,6574250
0,307750,6578250
0,308250,6566250
0,308250,6569750
0,308250,6571250
0,308750,6579750
0,309250,6573250
0,309250,6574250
1,309250,6578250
0,310250,6575250
0,310750,6567750
1,310750,6570250
1,310750,6573750
1,310750,6576750
0,310750,6577750
0,311250,6578750
0,311750,6569750
0,311750,6574250
1,311750,6575750
1,312250,6568750
1,312750,6571750
0,313250,6566250
0,313250,6575250
1,313750,6567750
0,313750,6579250
0,314250,6572750
0,314250,6576750
0,314750,6571250
0,314750,6574750
