Occurrence,POINT_X,POINT_Y
presence,249250,6596750
presence,249750,6596750
presence,250250,6594750
presence,250250,6596750
presence,250250,6597250
presence,251250,6595250
presence,251750,6595250
presence,251750,6595750
presence,251750,6596250
presence,251750,6596750
presence,252250,6583750
presence,252250,6584250
presence,252250,6584750
presence,252250,6600250
presence,252250,6601750
presence,252750,6584250
presence,252750,6584750
presence,252750,6585250
presence,252750,6599750
presence,252750,6601250
presence,252750,6601750
presence,252750,6602250
presence,252750,6604750
presence,253250,6580750
presence,253250,6581250
presence,253250,6587250
presence,253250,6600250
presence,253250,6601750
presence,253250,6602250
presence,253250,6605250
presence,253750,6573750
presence,253750,6579750
presence,253750,6580250
presence,253750,6581750
presence,253750,6583750
presence,253750,6599250
presence,253750,6599750
presence,253750,6601250
presence,253750,6604250
presence,253750,6604750
presence,253750,6605250
presence,254250,6572750
presence,254250,6573250
presence,254250,6574250
presence,254250,6574750
presence,254250,6583750
presence,254250,6597250
presence,254250,6599750
presence,254250,6604250
presence,254750,6572250
presence,254750,6573250
presence,254750,6575250
presence,254750,6581250
presence,254750,6581750
presence,254750,6588750
presence,254750,6591750
presence,254750,6597250
presence,254750,6603750
presence,254750,6604250
presence,255250,6597250
presence,255250,6600250
presence,255750,6593250
presence,255750,6599750
presence,255750,6601250
presence,256250,6597750
presence,256250,6598250
presence,256250,6598750
presence,256250,6600250
presence,256750,6576750
presence,256750,6579250
presence,256750,6595750
presence,256750,6597250
presence,256750,6597750
presence,256750,6601750
presence,257250,6572750
presence,257250,6573250
presence,257250,6578750
presence,257250,6585750
presence,257250,6588250
presence,257250,6590250
presence,257250,6593750
presence,257250,6597750
presence,257750,6571250
presence,257750,6577250
presence,257750,6579750
presence,257750,6593750
presence,257750,6599250
presence,258250,6558750
presence,258250,6559250
presence,258250,6569250
presence,258250,6573250
presence,258250,6573750
presence,258250,6585250
presence,258250,6591250
presence,258250,6599250
presence,258750,6571250
presence,258750,6578750
presence,258750,6583750
presence,258750,6594750
presence,259250,6575250
presence,259250,6594750
presence,259750,6568750
presence,259750,6569250
presence,259750,6571750
presence,259750,6582250
presence,259750,6583250
presence,259750,6588750
presence,260250,6566750
presence,260250,6568750
presence,260250,6569250
presence,260250,6573250
presence,260250,6581750
presence,260750,6565250
presence,260750,6568250
presence,260750,6569750
presence,260750,6588750
presence,260750,6596250
presence,260750,6596750
presence,261250,6558750
presence,261250,6559750
presence,261250,6564250
presence,261250,6566750
presence,261250,6569250
presence,261250,6569750
presence,261250,6575750
presence,261250,6582250
presence,261250,6582750
presence,261250,6583250
presence,261250,6583750
presence,261250,6595750
presence,261250,6597250
presence,261750,6559250
presence,261750,6566250
presence,261750,6581750
presence,261750,6582750
presence,261750,6583250
presence,261750,6583750
presence,261750,6586750
presence,261750,6593750
presence,262250,6555750
presence,262250,6556750
presence,262250,6557250
presence,262250,6583750
presence,262250,6588250
presence,262750,6555250
presence,262750,6555750
presence,262750,6556250
presence,262750,6557750
presence,262750,6586250
presence,262750,6592750
presence,263250,6553250
presence,263250,6555250
presence,263250,6555750
presence,263250,6560750
presence,263250,6561250
presence,263250,6566750
presence,263250,6592250
presence,263250,6593250
presence,263250,6593750
presence,263250,6595750
presence,263250,6608750
presence,263750,6555250
presence,263750,6555750
presence,263750,6556250
presence,263750,6557250
presence,263750,6580750
presence,263750,6599250
presence,263750,6604250
presence,264250,6552750
presence,264250,6553250
presence,264250,6554750
presence,264250,6556750
presence,264250,6557250
presence,264250,6560250
presence,264250,6586750
presence,264250,6596750
presence,264250,6602750
presence,264250,6604250
presence,264250,6604750
presence,264250,6605250
presence,264250,6605750
presence,264750,6552750
presence,264750,6554750
presence,264750,6556250
presence,264750,6557250
presence,264750,6581250
presence,264750,6591250
presence,264750,6594250
presence,264750,6597750
presence,264750,6601750
presence,265250,6553250
presence,265250,6554250
presence,265250,6562750
presence,265250,6563250
presence,265250,6564750
presence,265250,6568250
presence,265250,6581750
presence,265250,6586750
presence,265250,6592250
presence,265250,6594750
presence,265250,6597250
presence,265250,6597750
presence,265250,6599750
presence,265250,6608750
presence,265250,6609250
presence,265750,6553250
presence,265750,6597250
presence,265750,6598250
presence,265750,6598750
presence,265750,6601750
presence,265750,6605750
presence,265750,6610250
presence,266250,6552750
presence,266250,6553250
presence,266250,6562250
presence,266250,6568750
presence,266250,6573250
presence,266250,6591250
presence,266250,6601250
presence,266250,6601750
presence,266250,6608750
presence,266750,6552250
presence,266750,6552750
presence,266750,6553250
presence,266750,6553750
presence,266750,6558750
presence,266750,6559750
presence,266750,6570250
presence,266750,6577250
presence,266750,6597750
presence,266750,6602250
presence,266750,6606250
presence,267250,6545250
presence,267250,6550750
presence,267250,6551750
presence,267250,6552250
presence,267250,6552750
presence,267250,6553250
presence,267250,6562750
presence,267250,6567250
presence,267250,6570750
presence,267250,6593750
presence,267250,6594250
presence,267250,6597250
presence,267250,6597750
presence,267750,6544750
presence,267750,6545250
presence,267750,6545750
presence,267750,6550750
presence,267750,6551750
presence,267750,6552750
presence,267750,6553750
